"","date","song","artist","image_url","last_week","weeks_on_chart","weeks_at_1"
"1070","2020-06-27","Trollz","6ix9ine & Nicki Minaj","https://charts-static.billboard.com/img/2020/06/tekashi-6ix9ine-4dg-trollz-bqp-180x180.jpg","-","1",NA
"1071","2020-07-04","Rockstar","DaBaby Featuring Roddy Ricch","https://charts-static.billboard.com/img/2017/01/dababy-sfn-180x180.jpg","2","10","3"
"1072","2020-07-11","Rockstar","DaBaby Featuring Roddy Ricch","https://charts-static.billboard.com/img/2017/01/dababy-sfn-180x180.jpg","1","11","4"
"1073","2020-07-18","Rockstar","DaBaby Featuring Roddy Ricch","https://charts-static.billboard.com/img/2017/01/dababy-sfn-180x180.jpg","1","12","5"
"1074","2020-07-25","Rockstar","DaBaby Featuring Roddy Ricch","https://charts-static.billboard.com/img/2017/01/dababy-sfn-180x180.jpg","1","13","6"
"1075","2020-08-01","Rockstar","DaBaby Featuring Roddy Ricch","https://charts-static.billboard.com/img/2017/01/dababy-sfn-180x180.jpg","1","14","7"
"1076","2020-08-08","Cardigan","Taylor Swift","https://charts-static.billboard.com/img/2020/08/taylor-swift-vug-cardigan-e1l-180x180.jpg","-","1",NA
"1077","2020-08-15","Watermelon Sugar","Harry Styles","https://charts-static.billboard.com/img/2019/11/harry-styles-6jk-watermelonsugar-nys-180x180.jpg","7","20","1"
"1078","2020-08-22","WAP","Cardi B Featuring Megan Thee Stallion","https://charts-static.billboard.com/img/2020/08/cardi-b-84g-wap-kc1-180x180.jpg","-","1",NA
"1079","2020-08-29","WAP","Cardi B Featuring Megan Thee Stallion","https://charts-static.billboard.com/img/2020/08/cardi-b-84g-wap-kc1-180x180.jpg","1","2","2"
"1080","2020-09-05","Dynamite","BTS","https://charts-static.billboard.com/img/2020/08/bts-hm9-dynamite-9ep-180x180.jpg","-","1",NA
"1081","2020-09-12","Dynamite","BTS","https://charts-static.billboard.com/img/2020/08/bts-hm9-dynamite-9ep-180x180.jpg","1","2","2"
"1082","2020-09-19","WAP","Cardi B Featuring Megan Thee Stallion","https://charts-static.billboard.com/img/2020/08/cardi-b-84g-wap-kc1-180x180.jpg","2","5","3"
"1083","2020-09-26","WAP","Cardi B Featuring Megan Thee Stallion","https://charts-static.billboard.com/img/2020/08/cardi-b-84g-wap-kc1-180x180.jpg","1","6","4"
"1084","2020-10-03","Dynamite","BTS","https://charts-static.billboard.com/img/2020/08/bts-hm9-dynamite-9ep-180x180.jpg","2","5","3"
"1085","2020-10-10","Franchise","Travis Scott Featuring Young Thug & M.I.A.","https://charts-static.billboard.com/img/2020/10/travis-scott-a4t-franchise-oht-180x180.jpg","-","1",NA
"1086","2020-10-17","Savage Love (Laxed - Siren Beat)","Jawsh 685 x Jason Derulo","https://charts-static.billboard.com/img/2020/06/jawsh685-000-savagelovelaxedsirenbeat-8a2-180x180.jpg","8","17","1"
"1087","2020-10-24","Mood","24kGoldn Featuring iann dior","https://charts-static.billboard.com/img/2020/08/24kgoldn-hvh-mood-23c-180x180.jpg","4","10","1"
"1088","2020-10-31","Mood","24kGoldn Featuring iann dior","https://charts-static.billboard.com/img/2020/08/24kgoldn-hvh-mood-23c-180x180.jpg","1","11","2"
"1089","2020-11-07","Positions","Ariana Grande","https://charts-static.billboard.com/img/2020/10/ariana-grande-i9s-positions-boo-180x180.jpg","-","1",NA
"1090","2020-11-14","Mood","24kGoldn Featuring iann dior","https://charts-static.billboard.com/img/2020/08/24kgoldn-hvh-mood-23c-180x180.jpg","3","13","3"
"1091","2020-11-21","Mood","24kGoldn Featuring iann dior","https://charts-static.billboard.com/img/2020/08/24kgoldn-hvh-mood-23c-180x180.jpg","1","14","4"
"1092","2020-11-28","Mood","24kGoldn Featuring iann dior","https://charts-static.billboard.com/img/2020/08/24kgoldn-hvh-mood-23c-180x180.jpg","1","15","5"
"1093","2020-12-05","Life Goes On","BTS","https://charts-static.billboard.com/img/2020/11/bts-hm9-lifegoeson-z4z-180x180.jpg","-","1",NA
"1094","2020-12-12","Mood","24kGoldn Featuring iann dior","https://charts-static.billboard.com/img/2020/08/24kgoldn-hvh-mood-23c-180x180.jpg","2","17","6"
"1095","2020-12-19","All I Want For Christmas Is You","Mariah Carey","https://charts-static.billboard.com/img/1994/12/mariah-carey-x65-alliwantforchristmasisyou-7ve-180x180.jpg","2","41","4"
"1096","2020-12-26","Willow","Taylor Swift","https://charts-static.billboard.com/img/2020/12/taylor-swift-vug-willow-moe-180x180.jpg","-","1",NA
"1097","2021-01-02","All I Want For Christmas Is You","Mariah Carey","https://charts-static.billboard.com/img/1994/12/mariah-carey-x65-alliwantforchristmasisyou-7ve-180x180.jpg","2","43","5"
"1098","2021-01-09","Mood","24kGoldn Featuring iann dior","https://charts-static.billboard.com/img/2020/08/24kgoldn-hvh-mood-23c-180x180.jpg","7","21","7"
"1099","2021-01-16","Mood","24kGoldn Featuring iann dior","https://charts-static.billboard.com/img/2020/08/24kgoldn-hvh-mood-23c-180x180.jpg","1","22","8"
"1100","2021-01-23","Drivers License","Olivia Rodrigo","https://charts-static.billboard.com/img/2021/01/oliviarodrigo-3wl-driverslicense-iwr-180x180.jpg","-","1",NA
"1101","2021-01-30","Drivers License","Olivia Rodrigo","https://charts-static.billboard.com/img/2021/01/oliviarodrigo-3wl-driverslicense-iwr-180x180.jpg","1","2","2"
"1102","2021-02-06","Drivers License","Olivia Rodrigo","https://charts-static.billboard.com/img/2021/01/oliviarodrigo-3wl-driverslicense-iwr-180x180.jpg","1","3","3"
"1103","2021-02-13","Drivers License","Olivia Rodrigo","https://charts-static.billboard.com/img/2021/01/oliviarodrigo-3wl-driverslicense-iwr-180x180.jpg","1","4","4"
"1104","2021-02-20","Drivers License","Olivia Rodrigo","https://charts-static.billboard.com/img/2021/01/oliviarodrigo-3wl-driverslicense-iwr-180x180.jpg","1","5","5"
"1105","2021-02-27","Drivers License","Olivia Rodrigo","https://charts-static.billboard.com/img/2021/01/oliviarodrigo-3wl-driverslicense-iwr-180x180.jpg","1","6","6"
"1106","2021-03-06","Drivers License","Olivia Rodrigo","https://charts-static.billboard.com/img/2021/01/oliviarodrigo-3wl-driverslicense-iwr-180x180.jpg","1","7","7"
"1107","2021-03-13","Drivers License","Olivia Rodrigo","https://charts-static.billboard.com/img/2021/01/oliviarodrigo-3wl-driverslicense-iwr-180x180.jpg","1","8","8"
"1108","2021-03-20","What's Next","Drake","https://charts-static.billboard.com/img/2021/03/drake-8dm-whatsnext-s7b-180x180.jpg","-","1",NA
"1109","2021-03-27","Up","Cardi B","https://charts-static.billboard.com/img/2021/02/cardi-b-84g-up-tj9-180x180.jpg","6","6","1"
"1110","2021-04-03","Peaches","Justin Bieber Featuring Daniel Caesar & Giveon","https://charts-static.billboard.com/img/2021/03/justin-bieber-f8k-peaches-zld-180x180.jpg","-","1",NA
"1111","2021-04-10","Montero (Call Me By Your Name)","Lil Nas X","https://charts-static.billboard.com/img/2021/04/lil-nas-x-qv4-monterocallmebyyourname-4si-180x180.jpg","-","1",NA
"1112","2021-04-17","Leave The Door Open","Silk Sonic (Bruno Mars & Anderson .Paak)","https://charts-static.billboard.com/img/2021/03/silksonicbrunomarsandersonpaak-qd5-leavethedooropen-fy0-180x180.jpg","3","5","1"
"1113","2021-04-24","Rapstar","Polo G","https://charts-static.billboard.com/img/2021/04/polog-n1o-rapstar-pz6-180x180.jpg","-","1",NA
"1114","2021-05-01","Rapstar","Polo G","https://charts-static.billboard.com/img/2021/04/polog-n1o-rapstar-pz6-180x180.jpg","1","2","2"
"1115","2021-05-08","Save Your Tears","The Weeknd & Ariana Grande","https://charts-static.billboard.com/img/2011/11/the-weeknd-jlk-180x180.jpg","6","20","1"
"1116","2021-05-15","Save Your Tears","The Weeknd & Ariana Grande","https://charts-static.billboard.com/img/2011/11/the-weeknd-jlk-180x180.jpg","1","21","2"
"1117","2021-05-22","Leave The Door Open","Silk Sonic (Bruno Mars & Anderson .Paak)","https://charts-static.billboard.com/img/2021/03/silksonicbrunomarsandersonpaak-qd5-leavethedooropen-fy0-180x180.jpg","2","10","2"
"1118","2021-05-29","Good 4 U","Olivia Rodrigo","https://charts-static.billboard.com/img/2021/05/oliviarodrigo-3wl-good4u-7ek-180x180.jpg","-","1",NA
"1119","2021-06-05","Butter","BTS","https://charts-static.billboard.com/img/2021/05/bts-hm9-butter-1b3-180x180.jpg","-","1",NA
